index,negativeword,rattcounter,kibucounter
1103,disagreeably,0,0
1104,disagreed,0,0
1105,disagreeing,0,0
1106,disagreement,0,0
1107,disagrees,0,0
1108,disallow,0,0
1109,disapointed,0,0
1110,disapointing,0,0
1111,disapointment,0,0
1112,disappoint,0,0
1113,disappointed,0,0
1114,disappointing,0,0
1115,disappointingly,0,0
1116,disappointment,0,0
1117,disappointments,0,0
1118,disappoints,0,0
1119,disapprobation,0,0
1120,disapproval,0,0
1121,disapprove,0,0
1122,disapproving,0,0
1123,disarm,0,0
1124,disarray,0,0
1125,disaster,0,0
1126,disasterous,0,0
1127,disastrous,0,0
1128,disastrously,0,0
1129,disavow,0,0
1130,disavowal,0,0
1131,disbelief,0,0
1132,disbelieve,0,0
1133,disbeliever,0,0
1134,disclaim,0,0
1135,discombobulate,0,0
1136,discomfit,0,0
1137,discomfititure,0,0
1138,discomfort,0,0
1139,discompose,0,0
1140,disconcert,0,0
1141,disconcerted,0,0
1142,disconcerting,0,0
1143,disconcertingly,0,0
1144,disconsolate,0,0
1145,disconsolately,0,0
1146,disconsolation,0,0
1147,discontent,0,0
1148,discontented,0,0
1149,discontentedly,0,0
1150,discontinued,0,0
1151,discontinuity,0,0
1152,discontinuous,0,0
1153,discord,0,0
1154,discordance,0,0
1155,discordant,0,0
1156,discountenance,0,0
1157,discourage,0,0
1158,discouragement,0,0
1159,discouraging,0,0
1160,discouragingly,0,0
1161,discourteous,0,0
1162,discourteously,0,0
1163,discoutinous,0,0
1164,discredit,0,0
1165,discrepant,0,0
1166,discriminate,0,0
1167,discrimination,0,0
1168,discriminatory,0,0
1169,disdain,0,0
1170,disdained,0,0
1171,disdainful,0,0
1172,disdainfully,0,0
1173,disfavor,0,0
1174,disgrace,0,0
1175,disgraced,0,0
1176,disgraceful,0,0
1177,disgracefully,0,0
1178,disgruntle,0,0
1179,disgruntled,0,0
1180,disgust,0,0
1181,disgusted,0,0
1182,disgustedly,0,0
1183,disgustful,0,0
1184,disgustfully,0,0
1185,disgusting,0,0
1186,disgustingly,0,0
1187,dishearten,0,0
1188,disheartening,0,0
1189,dishearteningly,0,0
1190,dishonest,0,0
1191,dishonestly,0,0
1192,dishonesty,0,0
1193,dishonor,0,0
1194,dishonorable,0,0
1195,dishonorablely,0,0
1196,disillusion,0,0
1197,disillusioned,0,0
1198,disillusionment,0,0
1199,disillusions,0,0
1200,disinclination,0,0
1201,disinclined,0,0
1202,disingenuous,0,0
1203,disingenuously,0,0
1204,disintegrate,0,0
1205,disintegrated,0,0
1206,disintegrates,0,0
1207,disintegration,0,0
1208,disinterest,0,0
1209,disinterested,0,0
1210,dislike,0,0
1211,disliked,0,0
1212,dislikes,0,0
1213,disliking,0,0
1214,dislocated,0,0
1215,disloyal,0,0
1216,disloyalty,0,0
1217,dismal,0,0
1218,dismally,0,0
1219,dismalness,0,0
1220,dismay,0,0
1221,dismayed,0,0
1222,dismaying,0,0
1223,dismayingly,0,0
1224,dismissive,0,0
1225,dismissively,0,0
1226,disobedience,0,0
1227,disobedient,0,0
1228,disobey,0,0
1229,disoobedient,0,0
1230,disorder,0,0
1231,disordered,0,0
1232,disorderly,0,0
1233,disorganized,0,0
1234,disorient,0,0
1235,disoriented,0,0
1236,disown,0,0
1237,disparage,0,0
1238,disparaging,0,0
1239,disparagingly,0,0
1240,dispensable,0,0
1241,dispirit,0,0
1242,dispirited,0,0
1243,dispiritedly,0,0
1244,dispiriting,0,0
1245,displace,0,0
1246,displaced,0,0
1247,displease,0,0
1248,displeased,0,0
1249,displeasing,0,0
1250,displeasure,0,0
1251,disproportionate,0,0
1252,disprove,0,0
1253,disputable,0,0
1254,dispute,0,0
1255,disputed,0,0
1256,disquiet,0,0
1257,disquieting,0,0
1258,disquietingly,0,0
1259,disquietude,0,0
1260,disregard,0,0
1261,disregardful,0,0
1262,disreputable,0,0
1263,disrepute,0,0
1264,disrespect,0,0
1265,disrespectable,0,0
1266,disrespectablity,0,0
1267,disrespectful,0,0
1268,disrespectfully,0,0
1269,disrespectfulness,0,0
1270,disrespecting,0,0
1271,disrupt,0,0
1272,disruption,0,0
1273,disruptive,0,0
1274,diss,0,0
1275,dissapointed,0,0
1276,dissappointed,0,0
1277,dissappointing,0,0
1278,dissatisfaction,0,0
1279,dissatisfactory,0,0
1280,dissatisfied,0,0
1281,dissatisfies,0,0
1282,dissatisfy,0,0
1283,dissatisfying,0,0
1284,dissed,0,0
1285,dissemble,0,0
1286,dissembler,0,0
1287,dissension,0,0
1288,dissent,0,0
1289,dissenter,0,0
1290,dissention,0,0
1291,disservice,0,0
1292,disses,0,0
1293,dissidence,0,0
1294,dissident,0,0
1295,dissidents,0,0
1296,dissing,0,0
1297,dissocial,0,0
1298,dissolute,0,0
1299,dissolution,0,0
1300,dissonance,0,0
1301,dissonant,0,0
1302,dissonantly,0,0
1303,dissuade,0,0
1304,dissuasive,0,0
1305,distains,0,0
1306,distaste,0,0
